dt,time_hr,place,price_actual
1/1/2022,0,germany,50.05
1/1/2022,1,germany,41.33
1/1/2022,2,germany,43.22
1/1/2022,3,germany,45.46
1/1/2022,4,germany,37.67
1/1/2022,5,germany,39.7
1/1/2022,6,germany,40.59
1/1/2022,7,germany,43.26
1/1/2022,8,germany,49.66
1/1/2022,9,germany,70.05
1/1/2022,10,germany,76.79
1/1/2022,11,germany,84.1
1/1/2022,12,germany,94.74
1/1/2022,13,germany,96.8
1/1/2022,14,germany,97.17
1/1/2022,15,germany,101
1/1/2022,16,germany,126.6
1/1/2022,17,germany,149.97
1/1/2022,18,germany,146.33
1/1/2022,19,germany,140.28
1/1/2022,20,germany,121.88
1/1/2022,21,germany,102.61
1/1/2022,22,germany,97.46
1/1/2022,23,germany,85.16
1/2/2022,0,germany,57.08
1/2/2022,1,germany,52.59
1/2/2022,2,germany,48.97
1/2/2022,3,germany,34.94
1/2/2022,4,germany,29.56
1/2/2022,5,germany,33.97
1/2/2022,6,germany,34.52
1/2/2022,7,germany,41.8
1/2/2022,8,germany,48.95
1/2/2022,9,germany,60.01
1/2/2022,10,germany,70.09
1/2/2022,11,germany,66.26
1/2/2022,12,germany,64.54
1/2/2022,13,germany,46.96
1/2/2022,14,germany,40.01
1/2/2022,15,germany,29.11
1/2/2022,16,germany,32.76
1/2/2022,17,germany,42.97
1/2/2022,18,germany,60.96
1/2/2022,19,germany,60.94
1/2/2022,20,germany,54.12
1/2/2022,21,germany,46.16
1/2/2022,22,germany,46.29
1/2/2022,23,germany,32.93
1/3/2022,0,germany,0.31
1/3/2022,1,germany,-0.01
1/3/2022,2,germany,-0.07
1/3/2022,3,germany,-1.05
1/3/2022,4,germany,-1
1/3/2022,5,germany,0.32
1/3/2022,6,germany,37.55
1/3/2022,7,germany,88.76
1/3/2022,8,germany,122.93
1/3/2022,9,germany,110.17
1/3/2022,10,germany,93.38
1/3/2022,11,germany,90.73
1/3/2022,12,germany,82.37
1/3/2022,13,germany,80.9
1/3/2022,14,germany,80.99
1/3/2022,15,germany,98.05
1/3/2022,16,germany,123.51
1/3/2022,17,germany,148.49
1/3/2022,18,germany,138
1/3/2022,19,germany,117.64
1/3/2022,20,germany,117.71
1/3/2022,21,germany,95.95
1/3/2022,22,germany,105.68
1/3/2022,23,germany,95.26
1/4/2022,0,germany,103.7
1/4/2022,1,germany,108.27
1/4/2022,2,germany,105.92
1/4/2022,3,germany,103.41
1/4/2022,4,germany,102.71
1/4/2022,5,germany,114.23
1/4/2022,6,germany,156.91
1/4/2022,7,germany,182.64
1/4/2022,8,germany,178.91
1/4/2022,9,germany,190
1/4/2022,10,germany,189.88
1/4/2022,11,germany,182.42
1/4/2022,12,germany,182.46
1/4/2022,13,germany,179.59
1/4/2022,14,germany,179
1/4/2022,15,germany,180.93
