dt,place,temp_avg,temp_min,temp_max
1/1/2022,germany,12,9.9,12.7
1/2/2022,germany,9.9,7.9,11.7
1/3/2022,germany,8.9,6.2,10.8
1/4/2022,germany,6.4,4.1,7.2
1/5/2022,germany,3.8,2.5,5.1
1/6/2022,germany,1.2,-1.4,3.9
1/7/2022,germany,0.7,-1.5,2.9
1/8/2022,germany,1.3,-0.6,3.3
1/9/2022,germany,1.5,-0.9,4.3
1/10/2022,germany,3.1,-2.4,5.1
1/11/2022,germany,-2.3,-3.4,-0.1
1/12/2022,germany,0.9,-2.4,3.7
1/13/2022,germany,4.3,3.5,5.2
1/14/2022,germany,5.3,2.4,6.8
1/15/2022,germany,1.9,0.6,3.3
1/16/2022,germany,2.1,-1,5.5
1/17/2022,germany,4.1,0.4,6.2
1/18/2022,germany,3,-0.8,5.5
1/19/2022,germany,4,2.4,5.2
1/20/2022,germany,1.1,-2.4,4
1/21/2022,germany,0.2,-2.9,3.4
1/22/2022,germany,3,1.3,4.4
1/23/2022,germany,5.4,4.4,6.7
1/24/2022,germany,5.3,4.2,6.6
1/25/2022,germany,4,3,4.6
1/26/2022,germany,2.9,1.8,4
1/27/2022,germany,4.4,3,6.3
1/28/2022,germany,4.9,3.3,6.5
1/29/2022,germany,5.8,2.7,9.6
1/30/2022,germany,5.8,4.1,6.9
1/31/2022,germany,2.9,-0.1,4.7
2/1/2022,germany,3.4,1.3,6.5
2/2/2022,germany,4.9,1.5,6.7
2/3/2022,germany,4.5,1.4,6.8
2/4/2022,germany,6.6,3.2,8.2
2/5/2022,germany,4.5,1.3,6.4
2/6/2022,germany,5.4,4,7.7
2/7/2022,germany,3.9,2.1,6.8
2/8/2022,germany,6.2,2.7,9.2
2/9/2022,germany,9,8.4,10
2/10/2022,germany,7.5,3.1,10.5
2/11/2022,germany,3.8,0.2,6.1
2/12/2022,germany,1.1,-2.7,5.4
2/13/2022,germany,3.5,-0.8,8
2/14/2022,germany,7.9,2.9,13.8
2/15/2022,germany,7.4,5,10.6
2/16/2022,germany,7.5,4.7,12.9
2/17/2022,germany,8.1,5,13
2/18/2022,germany,6.8,4,10.9
2/19/2022,germany,6.1,3.5,8.3
2/20/2022,germany,5.5,2.2,9
2/21/2022,germany,5.7,3.2,10.5
2/22/2022,germany,5.8,4.1,8.2
2/23/2022,germany,6.5,2.4,10.3
2/24/2022,germany,5.9,1.2,10.3
2/25/2022,germany,4.4,2.1,7.5
2/26/2022,germany,4.1,-0.2,6.7
2/27/2022,germany,0.5,-1.9,4.4
2/28/2022,germany,1.7,-0.9,6
3/1/2022,germany,2.1,-2.5,7.8
3/2/2022,germany,2.1,-3,9
3/3/2022,germany,-0.4,-3.6,2.3
3/4/2022,germany,1.8,-0.6,4.4
3/5/2022,germany,0.8,-2.3,6
3/6/2022,germany,0.9,-0.4,2.2
3/7/2022,germany,3.2,-2.5,9
3/8/2022,germany,3.8,-2.8,11.2
3/9/2022,germany,5,-2.5,12.1
3/10/2022,germany,4.1,-0.6,9.3
3/11/2022,germany,3,-2.2,8.6
3/12/2022,germany,4.8,-2.1,12
3/13/2022,germany,6.6,-1.2,13.3
3/14/2022,germany,7.6,1.8,13.7
3/15/2022,germany,8.5,2.5,12.6
3/16/2022,germany,6.5,3.1,11.3
3/17/2022,germany,7.7,4,11.9
3/18/2022,germany,8.6,5.5,13.3
3/19/2022,germany,6.3,1,10.9
3/20/2022,germany,6.6,0.4,12.7
3/21/2022,germany,7.6,0.9,14.1
3/22/2022,germany,8.8,1,17.5
3/23/2022,germany,9.9,0.7,19.6
3/24/2022,germany,8.6,0.7,16.5
3/25/2022,germany,10,1.7,17.3
3/26/2022,germany,9.4,5,13.9
3/27/2022,germany,9.7,1.6,16.4
3/28/2022,germany,10.8,5.3,17.2
3/29/2022,germany,8,3.6,12.9
3/30/2022,germany,5.3,1.4,9.2
3/31/2022,germany,3.8,-1,7.3
4/1/2022,germany,3.7,0.3,7.6
4/2/2022,germany,2.1,-2.2,6.5
4/3/2022,germany,2.8,-3.9,8
4/4/2022,germany,3.9,1,8.1
4/5/2022,germany,7,4.8,9.1
4/6/2022,germany,10.5,8.8,12.5
4/7/2022,germany,10.2,6.2,14.5
4/8/2022,germany,7,2.8,9.4
4/9/2022,germany,5.7,2.6,10.2
4/10/2022,germany,5.1,2.6,8.9
4/11/2022,germany,7.1,1.9,12.7
4/12/2022,germany,9.9,1.3,16.5
4/13/2022,germany,14.2,6.1,21.7
4/14/2022,germany,12.5,8.1,16.8
4/15/2022,germany,7.9,2.8,10.8
4/16/2022,germany,6.6,1.7,12.7
4/17/2022,germany,8.4,0.7,15.1
4/18/2022,germany,9.2,2.4,15.5
4/19/2022,germany,8.7,3.1,13.5
4/20/2022,germany,9.5,5.6,14.2
4/21/2022,germany,9.5,6.9,12
4/22/2022,germany,9.5,4.7,13.7
4/23/2022,germany,11.5,4.4,17.6
4/24/2022,germany,11.1,4.8,17.2
4/25/2022,germany,8.8,5.1,13.7
4/26/2022,germany,11.5,3.7,17.4
4/27/2022,germany,12.1,6.2,17.9
4/28/2022,germany,11.5,4.9,17.6
